2383
3000 3000
658 2743 570
658 2854 277
659 755 661
659 1433 141
659 1455 741
659 1502 582
659 1531 395
659 1857 986
659 2186 595
659 2512 734
659 2633 766
659 2785 861
660 73 352
660 126 273
660 261 651
660 1028 846
660 1180 809
660 1195 113
660 1279 960
660 1504 533
660 2676 642
660 2811 916
661 97 270
661 171 279
661 644 770
661 791 463
661 2325 457
661 2558 152
662 1349 781
662 1897 880
663 236 697
663 1480 91
663 1481 511
663 2036 529
663 2766 42
664 705 623
664 1149 154
664 1229 740
664 1350 132
664 1368 629
664 1466 153
664 2574 561
664 2592 763
664 2645 957
665 57 245
665 597 916
665 2266 640
666 170 906
666 2132 715
666 2375 818
666 2462 471
667 217 319
667 895 961
667 1283 646
667 1347 876
667 1498 554
668 112 992
668 127 203
668 632 757
668 712 802
668 1561 17
668 1735 664
668 2028 208
669 574 285
669 1273 704
669 1584 369
669 2074 775
669 2381 372
669 2557 241
669 2578 783
670 183 419
670 607 962
670 635 331
670 881 457
670 913 108
670 1370 162
670 1494 898
670 2082 155
670 2138 50
671 913 700
671 1109 990
671 1114 565
671 1870 266
671 2209 669
672 119 167
672 307 536
672 766 240
672 961 936
672 1335 848
672 1523 349
672 2300 386
672 2514 168
672 2900 419
673 65 296
673 79 835
673 1055 384
673 1538 744
673 2697 678
673 2860 623
673 2973 726
674 511 602
674 1082 632
674 1954 563
674 2092 40
674 2354 535
675 490 995
675 826 786
675 1128 736
675 1581 856
675 1628 941
675 1926 360
675 2319 920
675 2691 267
675 2901 960
676 240 265
676 1114 318
676 2367 755
676 2723 583
677 10 616
677 973 421
677 1072 684
677 1253 933
677 1414 382
677 2808 837
677 2936 683
677 2948 621
678 27 493
678 315 767
678 810 927
678 1910 476
678 2052 954
678 2175 722
678 2768 412
678 2833 653
679 148 565
679 536 809
679 634 969
679 722 140
679 821 634
679 2354 156
680 601 731
680 1016 243
680 2331 394
680 2465 442
680 2532 159
680 2866 576
681 532 516
681 1032 739
681 1239 543
681 1966 951
681 2575 761
681 2860 155
682 335 594
682 845 573
683 852 216
683 1033 779
683 1234 368
684 685 604
684 689 344
684 1149 734
684 1178 964
684 2050 543
685 158 773
685 191 294
685 216 592
685 684 604
685 766 763
685 2728 721
685 2873 227
686 240 327
686 387 212
686 896 936
686 1207 399
686 2047 781
686 2435 331
686 2929 220
687 868 107
687 1121 12
687 1262 798
687 2037 884
687 2056 383
687 2162 798
687 2506 367
687 2624 842
688 313 587
688 350 250
688 1067 775
688 1297 848
688 1697 537
688 2131 735
688 2668 393
688 2671 761
688 2694 814
688 2752 316
688 2973 470
689 684 344
689 1190 538
689 1290 362
689 1955 219
689 2762 669
690 434 904
690 441 404
690 473 922
690 1787 78
690 1927 486
691 615 822
691 1007 855
691 1419 655
691 1520 110
691 1582 217
691 1761 713
691 2984 987
692 335 983
692 791 554
692 1232 815
692 1371 961
692 2472 587
692 2634 735
692 2698 986
693 105 45
693 1089 946
693 1496 193
693 1511 240
694 914 23
694 1134 675
694 1683 914
694 1936 61
695 581 97
695 739 124
695 2249 113
695 2692 900
696 1267 744
696 1365 169
696 1569 132
696 2450 696
696 2544 50
697 134 22
697 424 274
697 967 550
697 1090 693
697 1628 723
697 1735 512
697 1911 312
698 151 64
698 213 967
698 232 355
698 442 578
698 526 391
698 1053 792
698 2111 605
698 2947 812
699 268 188
699 600 367
699 1225 237
699 1468 101
699 1892 64
699 2219 375
699 2904 343
700 17 815
700 651 980
700 922 303
700 1945 298
700 1952 729
700 2803 830
701 101 139
701 501 662
701 1082 963
701 1383 78
701 2032 812
702 8 674
702 136 754
702 144 585
702 1059 838
702 1433 767
702 2138 127
702 2725 353
703 62 39
703 863 86
703 950 24
703 1068 8
703 1215 945
703 1480 509
703 2064 658
703 2303 711
703 2326 52
704 404 969
704 1673 492
704 1855 138
704 2252 951
704 2455 754
704 2536 215
704 2570 65
705 664 623
705 795 161
705 940 369
705 1143 42
705 1270 238
705 1295 866
705 1653 217
705 1728 115
705 1922 365
705 2304 36
705 2569 600
705 2742 666
705 2832 589
706 26 712
706 519 478
706 1306 741
707 504 925
707 879 198
707 1903 200
707 2351 562
707 2649 474
707 2803 698
708 324 609
708 854 11
708 1660 724
708 1857 134
708 2021 290
708 2619 998
708 2668 825
708 2807 250
709 233 462
709 1316 292
709 1572 910
709 1893 48
709 2314 862
709 2635 934
710 287 701
710 583 641
710 611 411
710 725 770
710 866 401
710 1171 524
710 1726 255
710 1778 832
710 2083 292
710 2317 641
710 2532 410
710 2867 997
711 298 26
711 600 172
711 882 44
711 1298 581
711 1364 102
711 2226 685
711 2464 552
711 2731 413
712 597 731
712 652 492
712 668 802
712 1379 116
712 1625 375
712 1870 94
712 1874 934
712 2349 457
713 1261 611
713 1514 297
713 1815 823
713 1924 153
713 2863 588
713 2895 742
714 1559 101
714 1667 574
714 2902 531
715 634 82
715 1407 385
715 1514 471
715 2447 438
715 2809 343
716 449 192
716 1527 648
716 1905 546
716 2692 489
717 890 374
717 1210 69
717 1262 721
717 1684 502
717 1907 760
718 999 821
718 1274 224
718 1674 674
718 2311 558
718 2917 913
719 1797 654
719 1875 573
719 1956 63
719 2424 716
719 2691 185
719 2825 883
719 2902 626
720 230 755
720 1822 493
721 2036 470
721 2433 423
722 391 708
722 679 140
722 1563 965
722 2759 409
722 2980 870
723 504 499
723 974 661
723 1141 867
723 2522 587
724 54 550
724 73 142
724 334 492
724 452 942
724 837 17
724 869 335
724 937 849
724 1282 602
724 1513 739
724 1598 509
724 2011 310
724 2219 494
724 2534 835
725 33 203
725 283 507
725 710 770
725 1030 687
725 1829 214
725 1836 36
725 2090 985
725 2459 404
726 184 989
726 466 530
726 965 839
726 1080 927
726 1294 935
726 1368 254
726 1613 538
726 1788 306
726 1889 433
726 2398 830
726 2490 793
726 2800 622
727 303 875
727 488 137
727 1072 280
727 1723 9
727 2370 977
727 2657 902
728 189 712
728 1146 917
728 1294 625
728 1681 965
728 2255 165
728 2849 732
729 14 298
729 739 131
729 1734 797
729 2006 385
730 383 906
730 1019 934
730 1240 230
730 1309 417
730 1595 881
730 2130 811
731 2043 856
731 2131 415
731 2340 670
731 2753 663
732 317 335
732 1143 711
732 1219 886
732 2017 424
732 2379 991
732 2858 385
733 909 658
733 970 343
733 2691 37
733 2886 756
734 54 450
734 566 357
734 1614 663
734 1809 265
734 2113 375
734 2480 931
734 2502 278
734 2554 616
735 169 427
735 535 216
735 654 828
735 1013 78
735 1238 822
735 2588 704
735 2738 863
736 618 572
736 2548 710
737 316 268
737 1085 241
737 1238 449
737 2309 760
737 2456 363
738 211 531
738 374 863
738 503 884
738 1187 445
738 1482 493
738 1750 615
738 1938 932
739 209 130
739 254 111
739 263 906
739 272 170
739 328 290
739 429 293
739 695 124
739 729 131
739 777 622
739 829 925
739 1605 317
740 764 263
740 987 469
740 2311 327
740 2363 509
740 2505 491
741 171 195
741 354 602
741 504 370
741 583 195
741 886 70
741 1818 894
741 2216 36
741 2370 260
741 2716 256
741 2857 43
742 119 983
742 1024 580
742 2078 980
742 2397 897
742 2431 741
742 2880 888
743 1148 910
743 1171 702
743 1725 404
743 1781 976
743 2028 590
743 2143 698
743 2214 100
744 928 770
744 1380 137
744 2204 860
744 2829 923
745 233 235
745 270 298
745 351 526
745 374 3
745 402 995
745 423 537
745 1009 248
745 1301 992
745 1651 910
745 1781 273
745 2132 435
745 2726 726
746 38 495
746 337 212
746 500 370
746 899 404
746 1050 939
746 2197 674
746 2611 453
746 2760 328
747 798 127
747 1197 926
747 1275 529
747 1298 789
747 1537 329
747 2315 9
747 2752 188
748 211 447
748 604 775
748 787 90
748 930 1
748 946 658
748 1373 813
748 1872 932
748 2214 560
748 2380 690
748 2927 688
749 91 105
749 1029 725
749 2442 46
750 166 709
750 788 510
750 1038 759
750 1698 510
750 2018 233
750 2345 898
751 135 41
751 893 551
751 1176 587
751 1201 768
751 1278 105
751 1557 596
751 1610 613
751 2084 168
751 2487 167
752 94 706
752 144 74
752 423 347
752 440 12
752 914 275
752 1067 248
752 1335 595
752 1573 968
752 2971 11
753 1400 903
753 1865 651
753 1894 556
753 1992 204
753 2551 164
754 3 561
754 305 221
754 635 646
754 982 504
754 1350 798
754 1600 248
754 1616 938
754 1730 631
754 2146 703
754 2430 684
754 2711 520
754 2881 176
755 659 661
755 1306 136
755 1507 573
755 1865 676
755 2457 193
756 246 71
756 381 448
756 441 270
756 788 349
756 897 821
756 1262 60
756 1787 804
756 2345 509
757 319 955
757 2345 776
757 2427 634
758 163 756
758 1981 145
759 95 997
759 1849 984
759 2929 218
759 2955 800
760 121 746
760 383 302
760 1040 534
760 1119 309
760 1180 353
760 2339 87
760 2608 42
761 16 866
761 18 102
761 1092 713
761 1344 427
761 1545 235
761 1853 432
761 1865 414
761 2371 499
762 416 967
762 1493 175
762 1614 770
762 2778 224
763 1154 414
763 1474 37
763 1764 885
763 2330 879
763 2428 381
763 2581 342
763 2924 913
764 271 188
764 272 955
764 508 48
764 740 263
764 1350 740
764 1398 415
764 1425 966
764 1521 137
764 1772 237
764 2055 967
765 57 863
765 568 320
765 799 296
765 1080 417
765 1934 221
765 2098 270
765 2789 13
766 672 240
766 685 763
766 1367 776
766 1520 754
766 1894 927
766 1939 896
766 2175 545
767 165 28
767 212 77
767 590 256
767 905 245
767 1217 397
767 1428 672
767 1467 415
767 1545 765
767 1669 342
767 2755 674
768 218 212
768 365 322
768 1309 964
768 1474 388
768 1497 531
768 2364 402
769 479 524
769 1065 593
769 1275 688
769 1327 976
769 1374 645
769 2293 58
769 2489 13
769 2801 321
770 186 335
770 294 884
770 1055 521
770 1274 367
770 2923 574
771 185 517
771 575 993
771 1124 454
771 2484 522
771 2604 944
771 2645 322
771 2724 312
771 2834 134
772 489 780
772 945 602
772 1690 891
772 1745 965
772 1930 940
772 2149 680
772 2580 80
772 2753 432
772 2975 163
773 157 99
773 190 891
773 1350 530
773 1393 736
773 1399 111
773 1443 708
773 2605 168
773 2736 950
774 582 554
774 845 303
774 2589 129
775 1673 440
775 2252 540
776 2446 790
776 2561 912
777 10 392
777 739 622
778 296 426
778 933 723
778 937 737
778 1368 387
778 1684 406
778 1739 906
778 1930 807
778 2077 909
778 2093 849
778 2164 410
778 2169 312
778 2204 961
778 2369 322
779 315 477
779 563 791
779 655 143
779 1507 103
779 1664 324
779 1793 971
779 2066 832
779 2806 562
780 794 31
780 1131 66
780 1323 899
781 506 373
781 1237 91
781 2707 50
782 511 876
783 111 754
783 1656 558
783 2034 997
783 2979 385
783 2994 588
784 112 171
784 438 738
784 1063 667
785 1694 513
785 1968 607
785 2192 959
785 2268 181
785 2627 681
785 2804 415
786 149 25
786 886 352
786 2461 45
787 294 622
787 413 774
787 748 90
787 1374 413
787 1412 692
787 1493 999
787 1549 947
787 2737 713
788 750 510
788 756 349
788 830 440
788 1982 257
788 2310 194
788 2554 799
788 2706 625
788 2842 319
789 203 623
789 452 714
789 527 715
789 805 439
789 1123 484
789 1710 435
789 1946 938
789 2859 158
790 592 516
790 644 475
790 1702 208
790 1934 338
790 1997 56
790 2208 92
790 2449 742
790 2775 743
791 661 463
791 692 554
791 1745 328
791 2576 575
791 2920 970
792 198 917
792 452 618
792 1543 394
792 2663 534
793 250 187
793 1051 814
793 1377 553
793 1455 413
793 2733 584
794 209 985
794 780 31
794 1033 59
794 1803 769
794 1946 256
794 2225 434
794 2347 132
795 270 430
795 386 598
795 705 161
795 1341 95
795 1342 240
795 1848 763
795 2479 435
795 2612 999
796 282 491
796 302 631
796 1106 218
796 1129 434
796 1237 909
796 1775 85
796 1835 256
796 2611 621
797 333 126
797 840 22
797 982 459
797 1155 881
797 1496 646
797 1557 211
797 2223 264
797 2297 830
797 2901 133
798 365 580
798 409 811
798 747 127
798 1277 922
798 1644 665
798 1924 988
798 2464 394
798 2819 103
799 143 231
799 765 296
799 1934 799
799 2107 970
799 2684 2
799 2689 930
799 2914 384
800 252 251
800 387 523
800 892 638
800 1895 331
800 2632 249
800 2772 171
800 2983 307
801 820 503
801 1275 281
801 2044 12
801 2909 407
801 2915 589
802 361 797
802 901 335
802 1560 494
802 2059 531
803 72 504
803 77 946
803 559 929
803 1758 855
803 2092 356
803 2229 212
803 2277 122
803 2293 595
803 2340 270
803 2653 571
803 2670 651
803 2927 662
804 462 306
804 1032 240
804 1231 736
804 1366 770
804 1370 985
804 2673 857
804 2790 296
804 2821 436
805 171 169
805 261 471
805 789 439
805 1352 557
805 2712 728
806 948 876
806 970 702
806 1096 912
806 1382 540
806 2153 20
806 2204 535
807 99 328
807 1034 597
807 2027 406
807 2100 992
807 2307 581
807 2508 144
808 223 438
808 859 120
808 880 64
808 1102 325
808 2494 899
809 85 463
809 156 491
809 966 164
809 1504 182
809 1618 701
809 2397 208
809 2741 267
810 442 11
810 678 927
810 1982 647
810 2464 979
810 2650 635
810 2771 747
811 494 752
811 554 15
811 821 577
811 1945 70
811 2127 784
811 2997 750
812 176 699
812 406 977
812 1806 138
813 155 23
813 508 722
813 963 836
813 1023 941
813 1408 507
813 1554 398
813 1803 615
813 1927 959
813 2133 712
813 2264 151
813 2351 902
813 2983 712
814 627 79
814 815 265
814 1087 310
814 1356 531
814 2617 149
814 2772 572
814 2998 109
815 451 580
815 582 986
815 627 178
815 814 265
815 2080 665
815 2123 140
815 2472 463
815 2839 843
816 510 27
816 1185 869
816 1428 578
816 1987 658
816 2341 824
816 2671 852
817 220 992
817 454 265
817 1193 847
817 1241 783
817 1987 216
818 350 423
818 584 948
818 1415 126
818 1713 656
819 155 931
819 396 787
819 509 576
819 595 387
819 1559 300
819 1934 36
819 2496 760
819 2773 590
820 801 503
820 1417 884
820 1600 518
820 1682 529
821 679 634
821 811 577
821 1131 184
821 1424 603
821 1773 355
821 1875 479
821 2229 354
821 2292 648
822 310 483
822 547 234
822 1531 623
822 1870 45
822 1897 484
823 77 45
823 357 230
823 1051 404
823 2177 90
823 2273 117
823 2378 312
823 2542 773
823 2888 910
824 1446 995
824 2319 660
825 10 482
825 868 959
825 874 814
825 1450 962
825 1891 8
825 2601 499
825 2618 845
826 675 786
826 2118 88
826 2279 4
826 2820 134
827 315 274
827 1267 102
827 2444 530
827 2902 788
828 314 124
828 1800 889
828 1836 919
828 2014 13
828 2747 518
828 2877 781
829 168 866
829 739 925
829 972 912
829 1252 248
829 1692 769
829 2087 698
829 2451 414
829 2642 522
830 149 445
830 535 183
830 788 440
830 1318 132
830 1851 252
830 2024 665
830 2524 458
830 2729 140
830 2970 981
831 1721 316
831 1790 361
831 2040 30
831 2120 530
831 2795 847
831 2854 404
831 2982 907
832 38 547
832 347 40
832 1016 174
832 1119 355
832 1206 582
832 1221 447
832 2513 438
833 75 403
833 514 372
833 1359 892
833 2854 7
834 958 942
834 1012 973
834 1573 851
834 2520 66
834 2657 431
835 18 18
835 374 146
835 1265 555
835 1600 502
835 1620 168
835 2179 25
835 2803 168
836 279 294
836 1474 598
836 2398 755
836 2665 2
837 42 495
837 724 17
837 838 588
837 2332 567
837 2863 516
838 81 600
838 115 188
838 837 588
838 1838 480
838 1959 683
838 2600 833
839 91 227
839 459 892
839 2747 956
840 507 492
840 797 22
840 1592 956
840 1639 316
840 2105 23
840 2592 133
841 113 292
841 195 418
841 203 941
841 324 95
841 369 791
841 1103 904
841 1588 634
841 2292 668
841 2420 591
841 2669 650
842 1102 895
842 1153 280
842 1340 691
842 1456 957
842 2467 879
842 2633 937
842 2786 28
843 1284 337
843 1820 130
843 2413 128
844 639 665
844 1369 966
844 1687 831
844 1896 680
844 1943 35
844 2046 920
844 2076 324
844 2660 621
844 2797 383
844 2964 686
845 0 392
845 438 860
845 682 573
845 774 303
845 933 993
845 968 454
845 2083 522
845 2185 432
845 2634 650
846 539 431
846 1633 930
846 1643 667
846 2814 194
847 267 10
847 648 953
847 1662 425
847 1697 722
847 2000 858
847 2956 622
848 417 789
848 1106 200
848 1432 150
848 1618 235
848 1739 946
848 2040 288
848 2287 413
848 2299 549
849 875 942
849 2150 869
849 2497 203
849 2716 810
849 2746 405
849 2777 69
850 1268 105
850 1376 552
850 1810 603
850 2246 380
850 2846 887
851 70 922
851 264 763
851 1095 598
851 1415 310
851 1885 362
852 257 806
852 297 984
852 683 216
852 1633 741
852 1775 854
852 2148 130
852 2741 294
853 81 450
853 380 236
853 860 688
853 1346 985
853 1814 692
853 2193 810
854 47 199
854 106 444
854 445 670
854 499 868
854 708 11
854 2203 8
854 2325 714
854 2568 673
854 2587 50
854 2890 879
855 920 566
855 1122 915
855 1794 244
855 1804 849
855 2243 605
855 2631 552
856 147 845
856 1211 223
856 1737 177
856 2726 969
856 2745 69
857 53 442
857 318 220
857 640 52
857 1154 165
857 1942 683
858 1455 244
858 1934 130
858 2280 985
859 213 512
859 520 861
859 808 120
859 876 154
859 970 658
859 1190 405
859 1545 756
859 1692 211
859 2224 138
859 2752 578
860 134 622
860 853 688
860 1529 712
860 2171 735
860 2482 150
861 44 273
861 1003 443
861 1984 275
861 2661 29
862 969 196
862 1027 547
862 1298 185
862 2208 675
863 113 368
863 288 622
863 703 86
863 1490 480
863 2319 148
863 2548 195
864 357 430
864 911 860
864 1286 5
864 1342 944
864 2658 725
864 2813 687
864 2825 544
864 2943 723
865 121 4
865 1219 686
865 2327 216
866 446 652
866 603 842
866 710 401
866 1453 3
866 1982 738
866 2371 495
866 2588 143
867 151 286
867 190 477
867 316 55
867 600 165
867 1968 9
868 145 601
868 258 249
868 313 953
868 655 972
868 687 107
868 825 959
868 2072 777
869 71 29
869 160 758
869 528 718
869 554 828
869 724 335
870 658 229
870 893 24
870 1129 381
870 2121 984
870 2188 400
870 2306 381
871 130 497
871 1183 10
871 1380 629
871 1386 209
871 1579 434
871 1587 49
871 1909 864
871 2199 30
871 2280 324
872 502 179
872 893 751
872 2596 216
872 2972 922
873 47 251
873 938 750
873 1027 992
873 1674 178
873 1931 359
873 2373 389
873 2724 646
873 2853 399
873 2873 249
873 2913 281
874 218 376
874 825 814
874 2940 617
875 849 942
875 1322 170
875 1426 434
875 1724 865
875 2046 734
875 2365 128
875 2761 375
876 584 929
876 639 982
876 859 154
876 1364 743
876 1779 576
876 1862 785
876 1881 789
877 1843 78
878 38 673
878 68 422
878 213 711
878 654 606
878 989 949
878 1105 78
878 1203 195
878 1285 703
878 1616 332
878 1641 11
878 1671 463
878 2328 374
878 2797 71
879 237 167
879 707 198
879 929 895
879 932 552
879 1427 449
879 1776 866
880 189 711
880 808 64
880 1112 853
880 1322 49
880 1394 607
880 1610 599
880 1631 63
880 2169 78
880 2874 191
881 45 592
881 670 457
881 1630 286
881 1788 275
881 2538 694
882 501 315
882 711 44
882 974 715
882 1329 616
882 1660 291
882 1663 951
882 1747 222
882 2895 838
882 2950 401
883 228 126
883 365 586
883 891 934
883 1486 684
883 1788 757
883 2674 845
884 970 190
884 2380 849
884 2411 622
884 2440 883
884 2444 621
884 2661 29
884 2696 360
885 630 742
885 1028 19
885 1193 22
885 1928 74
885 1985 757
885 2455 133
885 2563 91
885 2667 919
886 67 648
886 449 526
886 741 70
886 786 352
886 977 245
886 1127 478
887 144 675
887 970 457
887 1021 651
887 1030 28
887 1265 582
887 2071 596
888 641 308
888 1938 251
888 2052 684
888 2211 676
888 2447 10
888 2542 102
888 2570 672
889 956 897
889 1363 422
889 1680 245
889 2092 765
890 178 174
890 717 374
890 1743 541
890 1868 419
890 2280 549
890 2435 196
890 2809 866
891 176 754
891 883 934
891 1047 101
891 1121 217
891 1461 85
891 1991 539
891 2072 631
891 2547 773
891 2684 59
891 2961 976
892 375 699
892 800 638
892 1227 282
892 1816 240
892 1918 403
893 751 551
893 870 24
893 872 751
893 930 448
893 1291 807
893 2001 27
893 2246 922
894 585 903
894 1984 225
894 2483 69
894 2614 198
895 78 807
895 523 918
895 667 961
895 1071 601
895 1151 521
895 1371 273
895 1885 401
895 2689 471
896 349 423
896 686 936
896 1116 776
896 1146 224
896 1186 455
896 1408 510
896 1460 398
897 201 304
897 639 617
897 756 821
897 2540 776
897 2629 392
897 2672 250
897 2704 731
897 2985 327
898 203 167
898 260 338
898 319 92
898 547 306
898 1710 819
898 1734 820
898 2077 575
898 2248 430
898 2328 875
899 202 765
899 649 414
899 746 404
899 2352 351
900 189 549
900 359 718
900 987 466
900 2248 870
900 2816 583
901 802 335
901 1523 100
901 2396 80
901 2929 232
902 267 833
902 1426 833
902 1646 944
902 1654 559
902 2270 618
902 2361 522
902 2496 700
903 41 230
903 653 153
903 1282 402
903 1701 990
903 1742 400
903 2085 709
903 2540 552
903 2746 236
904 1022 128
904 1132 191
904 1433 659
904 1876 35
904 2421 724
904 2519 451
905 109 608
905 767 245
905 1139 269
905 1193 108
905 1672 252
905 1748 863
905 2222 492
905 2515 532
905 2885 503
906 923 866
906 1181 878
906 1452 139
906 2792 510
907 1468 728
907 1933 526
907 2479 762
907 2570 953
907 2600 920
907 2723 954
907 2730 243
908 1036 396
908 1544 82
908 2494 147
908 2878 560
908 2984 772
909 84 117
909 90 427
909 256 398
909 371 380
909 733 658
909 1035 602
909 1780 226
909 1942 285
909 2439 169
909 2574 133
910 315 607
910 1199 908
910 1644 637
910 2369 851
910 2777 383
910 2792 158
910 2821 614
911 35 831
911 864 860
911 1448 268
911 1728 198
911 2806 910
912 157 360
912 248 202
912 287 952
912 383 318
912 1302 757
912 1616 293
912 1631 583
912 2094 405
912 2156 502
912 2179 474
912 2377 809
912 2905 330
913 16 81
913 108 274
913 119 657
913 185 543
913 422 723
913 670 108
913 671 700
913 1263 986
913 1549 681
913 2088 317
913 2796 464
914 694 23
914 752 275
914 1595 718
914 1606 509
914 1692 943
914 2384 629
914 2873 26
915 2 827
915 22 138
915 268 956
915 310 192
915 478 39
915 2408 693
916 154 484
916 161 600
916 616 42
916 1728 436
916 2087 702
916 2433 502
916 2659 987
916 2729 860
916 2921 436
917 324 851
917 354 791
917 1531 491
917 1816 959
917 1933 623
917 2111 262
917 2997 560
918 2323 263
918 2430 219
918 2461 162
918 2648 459
919 1238 977
919 1859 255
919 2607 5
919 2952 209
920 855 566
920 1233 563
920 1235 902
920 1657 576
920 1837 550
920 1885 317
920 2091 564
920 2218 809
921 503 989
921 931 674
921 1658 351
921 2029 80
921 2033 588
921 2823 124
922 700 303
923 149 66
923 261 137
923 906 866
923 2265 651
923 2306 452
923 2420 613
924 1009 232
924 1534 64
924 2817 378
925 222 974
925 241 497
925 598 828
925 1111 457
925 2096 368
925 2773 799
925 2783 615
926 97 469
926 1309 550
926 1379 147
926 1551 6
926 1649 41
926 2276 461
926 2991 458
927 16 609
927 134 985
927 188 629
927 1009 574
927 1063 345
927 1777 453
927 2113 4
927 2982 409
928 744 770
928 935 177
928 1920 226
928 2380 255
929 471 484
929 879 895
930 379 9
930 748 1
930 893 448
930 1047 200
930 1484 841
931 170 718
931 921 674
931 1032 764
931 1233 597
931 1358 770
931 1484 433
931 1629 102
931 1712 60
931 2379 121
931 2787 427
931 2792 892
931 2820 142
931 2942 7
932 433 514
932 879 552
932 1066 611
932 1826 649
933 67 781
933 778 723
933 845 993
933 1696 725
933 1851 731
933 1897 841
933 2245 184
933 2284 99
933 2912 820
933 2920 69
934 193 889
934 319 581
934 515 775
934 1126 601
934 2020 14
934 2064 416
934 2251 889
935 377 546
935 627 241
935 928 177
935 1406 841
935 1439 625
936 962 690
936 987 323
936 1237 739
936 1789 68
936 2260 359
936 2844 822
937 398 394
937 724 849
937 778 737
937 1346 832
937 1395 69
937 1456 327
937 1897 620
937 2515 564
938 66 619
938 259 388
938 873 750
938 1028 938
939 178 817
939 265 959
939 1190 544
939 1834 328
939 2049 136
940 439 645
940 705 369
941 179 69
941 513 21
941 1054 261
941 2004 218
941 2961 211
942 52 917
942 93 523
942 230 857
942 1147 633
943 507 436
943 1351 417
943 2042 827
943 2360 453
943 2596 211
944 188 43
944 454 478
944 653 449
944 2301 702
945 772 602
945 1800 707
945 2745 108
946 209 70
946 522 997
946 748 658
946 1548 490
946 2145 363
946 2693 164
947 322 523
947 1390 476
947 2414 410
947 2451 379
947 2583 329
947 2668 298
948 79 215
948 637 880
948 806 876
948 1075 375
948 1722 326
948 1864 299
948 2594 664
949 451 764
949 1091 130
949 1206 819
949 1528 935
949 2015 216
949 2063 707
949 2390 633
950 205 912
950 703 24
950 984 133
950 1297 427
950 1393 464
950 2309 229
951 93 583
951 598 947
951 2719 337
951 2769 996
951 2846 89
952 575 92
952 1168 30
952 1421 409
952 1599 215
952 1809 612
952 1930 88
952 1972 86
952 2656 256
953 1048 441
953 1333 915
953 1746 81
953 2549 803
953 2956 514
954 284 407
954 639 162
954 1662 621
954 2017 931
954 2550 682
955 1507 601
955 1610 336
955 1738 809
955 1910 452
955 2216 554
955 2890 157
956 81 662
956 164 570
956 579 958
956 889 897
956 1615 555
956 1764 22
956 2082 122
957 93 451
957 191 158
957 1200 508
957 2674 450
958 834 942
958 1450 455
958 1560 907
958 2482 571
959 280 53
959 1926 956
959 1972 874
959 2082 973
959 2339 811
960 56 489
960 204 763
960 1404 133
960 2125 864
960 2144 843
960 2307 172
960 2344 370
960 2540 71
960 2669 161
960 2754 612
961 159 857
961 216 689
961 627 997
961 672 936
961 1628 900
961 1724 558
961 1732 292
962 55 951
962 371 902
962 442 174
962 463 996
962 936 690
962 1506 173
962 1747 376
962 1931 383
962 2090 523
962 2255 849
962 2768 581
963 323 344
963 813 836
963 1226 710
963 1527 936
963 1832 546
963 2547 82
963 2585 982
963 2636 469
963 2911 980
964 29 259
964 133 81
964 975 974
964 1687 985
964 2513 997
964 2973 219
965 269 578
965 299 186
965 726 839
965 1006 122
965 1124 221
965 1203 298
965 2322 838
966 407 216
966 809 164
966 1091 494
966 1163 44
966 1186 723
966 1235 27
966 2095 508
966 2593 63
966 2595 447
966 2879 404
967 697 550
967 1115 754
967 1348 143
967 1481 206
967 1870 40
967 2361 371
967 2527 476
968 79 29
968 160 284
968 845 454
968 2045 55
969 862 196
969 1186 709
969 1223 356
970 451 268
970 733 343
970 806 702
970 859 658
970 884 190
970 887 457
970 1609 576
970 2497 850
970 2787 46
971 81 462
971 440 677
971 1348 221
971 2045 455
971 2218 268
971 2686 485
972 361 761
972 436 475
972 829 912
972 1232 720
972 1811 852
972 1842 16
972 2450 502
973 677 421
973 1018 238
973 1261 330
973 1817 96
973 2241 625
973 2247 3
973 2619 672
974 723 661
974 882 715
974 1301 496
974 2392 182
974 2701 42
974 2782 215
975 964 974
975 2442 464
975 2446 525
975 2664 754
976 1523 536
976 2656 125
977 886 245
977 1270 269
977 1605 343
977 1738 464
977 1888 724
977 2721 921
978 5 939
978 1330 958
978 2342 823
978 2536 558
979 365 711
979 1070 840
979 1323 73
979 1790 491
979 1953 590
979 2317 655
979 2650 364
980 1176 522
981 44 988
981 491 408
981 627 81
981 1247 634
981 1314 519
981 1340 153
981 1605 546
981 2078 466
981 2133 714
982 198 206
982 458 277
982 632 886
982 754 504
982 797 459
982 1136 409
982 2074 614
982 2624 879
982 2776 199
983 387 667
983 588 423
983 1799 544
983 2250 423
983 2444 557
984 950 133
984 1249 189
984 1358 451
984 1831 783
984 1889 898
984 2026 330
984 2574 743
985 338 642
985 1150 560
985 1362 434
985 1836 112
985 2133 407
985 2270 836
985 2282 954
985 2383 630
985 2870 921
986 290 45
986 543 586
986 1451 910
986 1645 959
986 2350 857
986 2750 170
987 740 469
987 900 466
987 936 323
987 1496 637
987 2791 236
988 413 774
988 620 750
988 1171 602
988 1240 910
988 1465 5
988 1479 683
988 2594 159
988 2776 847
989 878 949
989 1484 505
989 1855 519
989 2352 550
990 499 704
990 1369 759
990 1788 407
990 2239 768
991 1041 38
991 1523 489
991 2938 330
992 1178 845
992 1730 896
992 2024 780
992 2266 258
992 2745 196
992 2911 465
993 409 743
993 1033 919
